1.51,0.224,1.59,1.242,-1.954,0.19,0.544,2.427,-1.243,-1.061,-1.208,-1.374,0.951
1.52,-0.095,1.103,2.629,-1.043,-1.038,-2.094,-1.154,3.208,-0.62,0.493,-2.184,-1.014
1.53,4.252,2.358,3.539,-1.357,-0.105,1.314,4.552,1.222,0.699,-1.025,0.321,2.98
1.54,0,1.197,2.383,-0.624,-0.442,-0.97,1.962,0.213,0.734,-2.528,-1.182,-0.183
1.55,-1.787,3.176,2.998,-0.82,-0.104,1.138,2.76,-0.736,1.176,-0.45,1.224,-2.269
1.56,0.434,1.795,1.786,-0.283,-3.303,0.785,-0.623,-0.441,-0.088,-2.824,-0.639,-3.129
1.57,-0.212,1.667,1.491,-1.337,-2.041,-1.146,1.498,2.19,-0.417,0.354,0.355,1.851
1.58,-0.668,2.579,1.891,-0.104,-4.193,4.499,1.046,1.389,0.343,0.481,-0.69,1.31
1.59,-1.029,2.733,3.233,-0.283,-2.059,0.076,3.812,-0.736,0.829,-0.363,-0.864,-0.863
1.6,-1.643,1.095,3.127,-0.98,-1.329,-3.8,2.525,-0.798,1.113,-0.751,-1.582,0.253
1.61,-1.448,1.121,3.325,0.253,-2.948,0.961,2.917,2.905,0.119,1.198,0.196,1.365
1.62,-1.814,1.948,1.939,-0.623,-0.441,0.625,0.525,0.003,1.567,1.768,-1.082,0.919
1.63,-1.224,1.342,3.373,-1.159,-3.286,-0.969,2.423,-0.205,0.14,0.754,-1.759,-1.918
1.64,2.916,0.514,2.892,-0.82,-2.591,-1.516,0.483,1.703,-0.73,-1.202,-0.697,0.134
1.65,-1.111,0.601,1.786,-0.82,0.075,0.43,0.598,0.248,-0.1,-0.367,-0.371,-1.04
1.66,-0.861,0.848,0.336,-0.442,-0.796,-2.384,1.281,0.056,0.229,-0.45,-1.615,-0.277
1.67,2.211,1.521,2.029,-1.417,-4.253,1.075,2.041,-0.58,0.465,1.563,-1.115,1.051
1.68,-1.964,1.802,3.156,-1.356,-0.992,-0.454,0.35,0.527,0.874,-1.689,-2.016,-0.845
1.69,-0.61,1.274,2.969,-0.442,0.626,-0.26,0.309,1.703,-0.384,0.261,0.263,1.261
1.7,-2.235,2.725,2.542,-0.104,-0.459,2.023,0.115,1.512,2.026,1.026,-0.145,0.189
1.71,0.589,2.637,3.307,-0.346,-0.166,0.543,1.044,-0.354,-0.7,-0.492,0.846,-1.484
1.72,-0.765,3.678,4.002,-0.106,-0.283,2.905,0.108,-1.809,-0.242,-0.807,1.038,0.037
1.73,0.265,1.46,3.324,-1.358,-0.994,0.074,-0.122,3.016,0.054,-1.159,0.353,-1.307
1.74,1.064,2.083,1.057,-0.982,-1.508,0.623,1.822,-0.626,-0.448,-0.922,0.922,1.58
1.75,2.133,1.954,1.779,-0.685,-1.216,-0.503,0.403,-0.294,0.402,1.028,0.194,-0.631
1.76,-1.721,1.87,1.352,-0.705,-0.7,-0.165,1.418,-0.678,1.062,1.01,0.344,1.014
1.77,-0.202,-0.545,1.662,-1.419,-2.123,-1.227,2.136,1.257,-0.481,0.365,-0.474,1.852
1.78,0.412,-0.272,2.956,-0.644,0.429,-0.456,1.375,-1.417,-0.197,0.311,0.311,-0.021
1.79,-1.739,0.829,1.844,-0.285,0.073,-1.871,4.357,1.029,0.854,0.17,-0.156,0.682
1.8,-0.657,-0.315,2.402,-0.803,-0.266,0.623,1.454,0.75,-0.119,-0.452,-1.117,2.378
1.81,0.495,1.349,3.554,-1.537,-3.305,-0.102,2.173,-0.626,-0.102,-1.292,1.555,0.386
1.82,-1.379,2.551,2.03,-0.883,0.011,-1.227,0.324,0.324,-0.024,1.492,-0.182,-1.338
1.83,-0.381,1.673,3.538,-1.062,-2.123,-2.82,0.813,4.123,-2.31,2.46,0.445,-2.379
1.84,-3.338,1.46,2.644,-1.222,0.561,1.266,-1.287,4.819,-1.443,1.178,0.846,2.842
1.85,0.206,1.571,1.567,-0.982,-5.065,-1.147,0.577,2.144,-0.119,-1.425,-0.917,-0.745
1.86,-0.308,1.4,2.245,-1.18,-1.528,-0.988,1.454,-0.643,1.095,-3.533,0.161,1.324
1.87,-0.84,3.433,2.739,-1.239,-3.898,-1.756,1.594,1.242,0.024,1.529,0.355,1.52
1.88,0.208,1.572,1.738,-0.881,-3.543,-0.34,-3.586,2.183,-0.257,0.313,-0.354,-2.013
1.89,-0.324,1.726,1.042,-1.178,-0.814,-0.809,2.332,-0.815,-0.117,-1.28,2.076,1.242
1.9,1.481,1.811,0.105,-0.522,-0.699,1.784,1.438,3.523,0.908,-2.094,-1.749,-2.072
1.91,1.67,-1.071,1.648,-0.642,-3.303,1.492,1.281,-0.467,0.75,-0.173,0.998,-0.003
1.92,-2.334,-0.107,1.079,-1.399,-0.859,0.561,1.179,-1.268,-0.397,1.007,-0.664,0.673
1.93,-0.023,2.536,1.677,-1.714,-2.059,-0.277,0.64,-1.626,0.813,0.631,-0.037,-1.032
1.94,-1.206,2.553,2.711,-1.596,-0.876,0.19,3.498,1.215,0.17,-0.022,0.648,-1.016
1.95,-1.377,0.677,2.032,-1.178,-2.948,4.499,4.625,-0.972,0.073,-0.88,-1.207,-0.202
1.96,-1.43,1.138,1.984,-1.894,0.253,2.023,-0.08,3.062,-0.071,-1.851,0.998,-0.169
1.97,-0.041,0.814,2.849,-0.623,-1.329,0.27,0.774,1.12,-0.792,1.843,-0.671,-0.003
1.98,-1.702,-0.33,2.558,-1.356,-1.881,-0.809,0.732,1.947,0.375,-1.198,-0.69,-1.348
1.99,0.473,1.495,1.661,-0.283,-0.104,0.43,-0.96,0.963,0.091,0.746,1.75,0.914
2,0.948,1.112,1.108,0.253,-0.459,3.969,2.501,-0.823,-0.995,-1.25,1.6,-0.233
2.01,-2.104,-0.731,0.801,-0.104,-0.814,3.439,0.013,-2.948,0.705,-0.531,-0.363,0.3
2.02,-0.1,2.802,1.09,-1.337,-0.974,0.978,2.953,1.546,-0.368,-0.283,-0.279,1.219
